Ticker,Name,Series Type,Currency,Country,Units,Scale,Flow,Adjustment,Corporate_History
CMSIGBW,London Silver Price (Pence/Ounce),Commodity Prices,United Kingdom Pound,United Kingdom,GBP per Troy Ounce,Pence,Stock,none,
Date,Ticker,Close
12/31/1325,CMSIGBW,24.306
12/31/1326,CMSIGBW,24.306
12/31/1327,CMSIGBW,24.306
12/31/1328,CMSIGBW,25.746
12/31/1329,CMSIGBW,25.746
12/31/1330,CMSIGBW,25.746
12/31/1331,CMSIGBW,25.746
12/31/1332,CMSIGBW,25.746
12/31/1333,CMSIGBW,25.746
12/31/1334,CMSIGBW,25.746
12/31/1335,CMSIGBW,28.829
12/31/1336,CMSIGBW,28.829
12/31/1337,CMSIGBW,28.829
12/31/1338,CMSIGBW,28.829
12/31/1339,CMSIGBW,28.829
12/31/1340,CMSIGBW,28.829
12/31/1341,CMSIGBW,28.829
12/31/1342,CMSIGBW,28.829
12/31/1343,CMSIGBW,28.829
12/31/1344,CMSIGBW,28.829
12/31/1345,CMSIGBW,28.829
12/31/1346,CMSIGBW,28.829
12/31/1347,CMSIGBW,28.829
12/31/1348,CMSIGBW,28.829
12/31/1349,CMSIGBW,28.829
12/31/1350,CMSIGBW,28.829
12/31/1351,CMSIGBW,28.829
12/31/1352,CMSIGBW,28.829
12/31/1353,CMSIGBW,28.829
12/31/1354,CMSIGBW,28.829
12/31/1355,CMSIGBW,28.829
12/31/1356,CMSIGBW,28.829
12/31/1357,CMSIGBW,28.829
12/31/1358,CMSIGBW,28.829
12/31/1359,CMSIGBW,28.829
12/31/1360,CMSIGBW,28.829
12/31/1361,CMSIGBW,28.829
12/31/1362,CMSIGBW,28.829
12/31/1363,CMSIGBW,28.829
12/31/1364,CMSIGBW,28.829
12/31/1365,CMSIGBW,28.829
12/31/1366,CMSIGBW,28.829
12/31/1367,CMSIGBW,28.829
12/31/1368,CMSIGBW,28.829
12/31/1369,CMSIGBW,28.829
12/31/1370,CMSIGBW,28.829
12/31/1371,CMSIGBW,28.829
12/31/1372,CMSIGBW,28.829
12/31/1373,CMSIGBW,28.829
12/31/1374,CMSIGBW,28.829
12/31/1375,CMSIGBW,28.829
12/31/1376,CMSIGBW,28.829
12/31/1377,CMSIGBW,28.829
12/31/1378,CMSIGBW,28.829
12/31/1379,CMSIGBW,28.829
12/31/1380,CMSIGBW,28.829
12/31/1381,CMSIGBW,28.829
12/31/1382,CMSIGBW,28.829
12/31/1383,CMSIGBW,28.829
12/31/1384,CMSIGBW,28.829
12/31/1385,CMSIGBW,28.829
12/31/1386,CMSIGBW,28.829
12/31/1387,CMSIGBW,28.829
12/31/1388,CMSIGBW,28.829
12/31/1389,CMSIGBW,28.829
12/31/1390,CMSIGBW,28.829
12/31/1391,CMSIGBW,28.829
12/31/1392,CMSIGBW,28.829
